总文件: 162431

== 顶层构成（136 项）==
      119个    0.03GiB ｜ 音效/音效/BD音效库/附赠音效库（转场+撞击+音效+环境音）/音效/音效/杂项备用
        2个    0.01GiB ｜ 音效/音效/BD音效库/极品音效库/质量一般的音效（备用）/质量一般的音效（备用）/2/工厂里机器声
        1个    0.00GiB ｜ 音效/音效/BD音效库/极品音效库/质量一般的音效（备用）/质量一般的音效（备用）/2/国外顶级片头音效
        3个    0.00GiB ｜ 音效/音效/BD音效库/极品音效库/质量一般的音效（备用）/质量一般的音效（备用）/1/风声
        2个    0.00GiB ｜ 音效/音效/BD音效库/极品音效库/质量一般的音效（备用）/质量一般的音效（备用）/2/精选音效
        1个    0.00GiB ｜ 音效/音效/BD音效库/极品音效库/质量一般的音效（备用）/质量一般的音效（备用）/1/电流
        1个    0.00GiB ｜ 音效/音效/BD音效库/极品音效库/质量一般的音效（备用）/质量一般的音效（备用）/1/变形金刚音效
        4个    0.00GiB ｜ 音效/音效/BD音效库/极品音效库/质量一般的音效（备用）/质量一般的音效（备用）/1/飞行类

== 含「质量一般」目录: 14 个 / 文件 27 / 0.02 GiB ==
        2个    0.01GiB ｜ 音效/音效/BD音效库/极品音效库/质量一般的音效（备用）/质量一般的音效（备用）/2/工厂里机器声
        1个    0.00GiB ｜ 音效/音效/BD音效库/极品音效库/质量一般的音效（备用）/质量一般的音效（备用）/2/国外顶级片头音效
        3个    0.00GiB ｜ 音效/音效/BD音效库/极品音效库/质量一般的音效（备用）/质量一般的音效（备用）/1/风声
        2个    0.00GiB ｜ 音效/音效/BD音效库/极品音效库/质量一般的音效（备用）/质量一般的音效（备用）/2/精选音效
        1个    0.00GiB ｜ 音效/音效/BD音效库/极品音效库/质量一般的音效（备用）/质量一般的音效（备用）/1/电流
        1个    0.00GiB ｜ 音效/音效/BD音效库/极品音效库/质量一般的音效（备用）/质量一般的音效（备用）/1/变形金刚音效
        4个    0.00GiB ｜ 音效/音效/BD音效库/极品音效库/质量一般的音效（备用）/质量一般的音效（备用）/1/飞行类
        1个    0.00GiB ｜ 音效/音效/BD音效库/极品音效库/质量一般的音效（备用）/质量一般的音效（备用）/1/车发动声

== 疑似下载垃圾命名目录: 4 个 ==
        1个    3.50GiB ｜ 预告/15. Sound Morph - Sinematic【史诗黑暗大气转场冲击电影音效】653968306123
        5个    0.08GiB ｜ 音效/网络下载
        2个    0.00GiB ｜ Wind/百万剪辑狮的音效库/操作音效/复古/跳跃/更多免费资源下载
        1个    0.00GiB ｜ 音效/音效/BD音效库/极品音效库/魔法&科幻/魔法&科幻/蒸汽朋克工业风武器开枪对战音效/_(WAVs)_B_Eva/更多免费资源下载

== 关键包散落分布 ==
  Blastwave   : 2706处    53.4GiB ｜ [Blastwave.FX]Collection/[Blastwave.FX]Zombie Apocalyps(165); [Blastwave.FX]Collection/[Blastwave.FX]Zombie Apocalyps(181); [Blast
  Bluezone    : 847处    28.4GiB ｜ Bluezone Corporation(76)/[Bluezone.Corporation]Eerie Am(240); Bluezone Corporation(76)/[Bluezone.Corporation]Abyss De(105); Bluezo
  Boom        : 16处     7.7GiB ｜ Boom Library - Close Combat Bundle/Close Combat Constru(236); Boom Library - Close Combat Bundle/Close Combat Constru(165); Boom L
  Sound.Ideas : 141处     7.6GiB ｜ [Sound.Ideas]Drone Archeology(100); [Sound.Ideas]Thunder Sound Effects/CD2/CD2(19); [Sound.Ideas]Thunder Sound Effects/CD1/CD1(93)
  Sound Morph : 43处    13.2GiB ｜ 预告/15. Sound Morph - Sinematic【史诗黑暗大气转场冲击电影音效】653968306(1); Sound Morph - Matter Mayhem/17. Metal Objects(311); Sound Morph - Matt
  Pro Sound   : 40处     0.8GiB ｜ Pro Sound Effect/49.Nature Ambiences(5); Pro Sound Effect/3 Wind(6); Pro Sound Effect/38.Foley;Cloth,Nylon,Leather,Velcro,Zi(22)
  Wind        : 259处     9.0GiB ｜ 46.Rain,Wind(48); 3 Wind(44); Wind/百万剪辑狮的音效库/操作音效/复古/Status(226)
  Multiply    : 185处    16.0GiB ｜ Multiply Sound Film Score Bundle/Multiply Sound Film Sc(12); Multiply Sound Film Score Bundle/Multiply Sound Film Sc(12); Multiply
  Sample      : 433处     3.0GiB ｜ Bluezone Corporation(76)/[Bluezone.Corporation]Hard Tec(147); Bluezone Corporation(76)/[Bluezone.Corporation]Hard Tec(147); Bluezo
  LTT         :  2处    24.1GiB ｜ LTT_V30All(1758); 音效/LTT_V30All(28)
  布斯          : 12处     6.0GiB ｜ 布斯的音效库/气氛音效(371); 布斯的音效库/环境音效(526); 布斯的音效库/上升 Risers(287)
  气氛          : 106处    19.8GiB ｜ 布斯的音效库/气氛音效(371); 气氛音乐音效/Idyllic/01 - Original(20); 气氛音乐音效/Idyllic/05 - Undertones(20)
  电影级         : 63处     5.4GiB ｜ 电影级音效/VELOCITY（速度）/Atmospheric（大气）(48); 电影级音效/ToolKit（工具包）/Mechanical（机械）(107); 电影级音效/IMPACT（冲击）/Dramatic_Hits（风格化）(40)
  魔法          : 106处    26.9GiB ｜ 魔法法术咒语技能释放音效(1); 魔法法术咒语技能释放音效/Cinetools Witchcraft/Designer Tools/Textur(40); 魔法法术咒语技能释放音效/Cinetools Witchcraft/Designer Tools/Ele
  预告          : 23处     7.7GiB ｜ 预告/15. Sound Morph - Sinematic【史诗黑暗大气转场冲击电影音效】653968306(1); 预告/Sound Morph - Sinematic/Battery 4 Kits(5); 预告/Sound Morph - Sinemat
  音效素材        : 1789处     7.0GiB ｜ 音效/音效素材3/音效素材3/气氛(100); 音效/音效素材1/风雨雷电高音质音效(20); 音效/音效素材2/精选音效(378)
  BD音效库       : 574处    29.1GiB ｜ 音效/音效/BD音效库/极品音效库/Mechanicals Construction Kit/Mechanic(237); 音效/音效/BD音效库/极品音效库/Mechanicals Construction Kit/Mechanic(139); 音效/音效/
  极品          : 426处    23.1GiB ｜ 音效/音效/BD音效库/极品音效库/Mechanicals Construction Kit/Mechanic(237); 音效/音效/BD音效库/极品音效库/Mechanicals Construction Kit/Mechanic(139); 音效/音效/
  临时          : 14处     1.2GiB ｜ 临时(316); 临时/腾格里-绿灯版音效(78); 临时/参考音乐(5)

== 文件所在深度分布(含文件名层): [(0, 2), (1, 11499), (2, 8853), (3, 32029), (4, 41770), (5, 24984), (6, 16581), (7, 12194), (8, 11684), (9, 2833), (10, 2)]
根级散文件: 2 ｜ 音效/ 根级: 1
